Name,Status,Location,Price,Stars,Ratings,Link
"Lenovo Thinkpad X1 Carbon 6th Gen i5-8350U 8th Gen, Ram 16gb, 256 SSD",Pre-Owned,From United States,"15,018.22 CZK",Tim,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-6th-Gen-i5-8350U-8th-Gen-Ram-16gb-256-SSD/254520464474?hash=item3b429a145a:g:9ZoAAOSw-0BeUcEt
Lenovo ThinkPad X1 Carbon 2nd Gen Touch i7-4600U 256GB M.2 8GB (CR) CL,Pre-Owned,From United States,"5,279.59 CZK",Pre,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-2nd-Gen-Touch-i7-4600U-256GB-M-2-8GB-CR-CL/193343665795?hash=item2d042e3683:g:f0QAAOSwrj9eRauE
Lenovo X1 Carbon 4th Gen i5-6200U 2.30GHz 8GB 256GB SSD PCle Win 10,Refurbished,From United States,"6,940.41 CZK",5.0,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-4th-Gen-i5-6200U-2-30GHz-8GB-256GB-SSD-PCle-Win-10/153843921694?epid=1163102884&hash=item23d1cff31e:g:uvYAAOSw18NeBOjS
Lenovo ThinkPad X1 Carbon 7.Gen 14 Inch Intel Core i7 7. Gen 256GB SSD,Pre-Owned,From Germany,"7,590.85 CZK",Tim,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-7-Gen-14-Zoll-Intel-Core-i7-7-Gen-256GB-SSD/283794563327?hash=item42137960ff:g:twkAAOSwDIJeVC4Y
Lenovo ThinkPad X1 Carbon 2 Gen i5 4300U 8GB 180GB SSD 1600x900 HD + Fingerpr. K,Pre-Owned,From Germany,"6,279.47 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-2-Gen-i5-4300U-8GB-180GB-SSD-1600x900-HD-Fingerpr-k/313008970308?_trkparms=ispr%3D1&hash=item48e0c9da44:g:bfEAAOSwATRdie4z&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qXFOxwiQ6odO%2B%2Fn11QOOnOvhxrfR1viZYG4panr2w1PmAFDVqKA1BQf7r4s293srUq%2BDsnXTmzG9kBMlbuDzN6nVWia8fLKtNONUsNZ8grZmH3Gh2GfSv1ycvQdtYbcyYXgW%2F8Osc3YJYFl%2FVOlMfHnNiO1T2vAv%2BfbD9MOcU39DwbbRJKo4hNQDnPdj1bym%2BoYseEUH%2FRbFxKxsuQXZmgIXhN7zrCAvAlnjaClv1JPDTWLgea0aPC2h1UWUprcehezT%2BwcSxz7E59wtWRQuGN5HFW%2BW0%2FwXUgq5LUzhfiD3w2OzfludEUCW3Cdl5pUAv4J7c0pTTS32a5K1FtMbtN9uZgaTcNdxoOf6yYWKENou3%2FqsjcP%2FexlkaxuPSVoNH0jwAfP%2Bp4fVi7xLOkRDL7bP%2BlB94MGcokL7BkifHdhh2FTMBkzMxoyrXs2UCRA9GCmSaUm7%2FCO50QGaejV7UNKzu1e7XdHxzswFHbCZrx9OI44h4PhtIw0uQJkOT4T6UYtvjTBy98Sh0ujrCu16L%2Ffk9HOKGc2gn3nyxAyoVoUVmXLoA9OEKj2NJAdbf%2BbXpCFXp4JOModmtTw0LDeTz2xBcrJX5fMOvvTkb5b9UoYzV5yCuCW%2Fk436iutnsjRvUQrKrfGtNgNwBfr4X4BeAcnhumLN1WWE6cUL5I5%2F0sDeCNJAwyUscjEZF%2FnF%2FzTONKwoDROK0XK7BloZPe%2BhdtSG%2Fu743LawnJ5PhI%2BYfq1GQ%3D%3D&checksum=3130089703080fdf6c09e424460a8703411c2d68d0dc
Lenovo Thinkpad X1 Carbon Ultrabook Laptop i5 4210U 8GB Fast SSD 512GB Order NOW,Refurbished,From United Kingdom,"14,471.96 CZK",Len,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-Ultrabook-Laptop-i5-4210U-8GB-Fast-SSD-512GB-Order-NOW/352852279503?epid=219492666&_trkparms=ispr%3D1&hash=item5227a280cf:g:1wAAAOSwzxldyf2U&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qWzGdGJrxwO93qYRD3V%2FV0tCLruUQbySRavWx1YEQSnBrY%2FEio%2Fpt3ID%2FXsAqOd%2BtrGKR71D2k2ZTY6%2B2oO1ZUTuc%2BsR7mD1CKtZz5H%2F8QDO4ltLNC59CXI5b1W74neP56ETEWdCnAGymSX3BFuALjnKrVjbb4HjbDu6L0lvRavSMeQ8qHE08AOwI9OCc080YWYp2Yypu18rp5MaMAENbRM%2FZkBlJgJZH33trvbuf6slBSzREBcSuLa%2BfaGsnK8wuShd45eTRySL3RDrMQKoriVXWgz19uoib5AmlOBYvZoOoeqEOfrBNWFcTZ%2Fa7eZ%2B3x3ENNsFCXT2O%2Bu5kz%2F3bKVwgBhEvkodcH5f4aQ%2BmKMr9pS8rq3ojVpIF78XcKQUxFZGCKL4RgYPbNKZolvQsMz4FaUSDWeLbXBAkLUnyeP%2F3Cn0AmP6iaS%2FKzXY4e1RokwwVKpEEESGthXo8FAONEY%2BpAEWW5ubeOsKezNf7AT3MZZKZXv4hmMjtTXEkBGmizpqENk2PquTZWm5iNiUp1sEgDm9U%2BOXafFBKmvhvRxodcZLTiAs0f0qmT%2F%2FcEkMvkoq9aDoNsr0qHKuM8fJ4EW2cgsp4cuiUlc1a3Bj2K9mPXN9h8YQmD%2Brn6cikYGeIj8eGcW%2FmPc2XXcOUPCPM%2BcJi%2BdjxPDJ2nh6THlx6lI4JHYwxjO58vXK14Fv6dBHMxxQ5R5lBMKZk8U3SoYU2Go4buhqgmsfPvJHeh6J7oN8g%3D%3D&checksum=3528522795030fdf6c09e424460a8703411c2d68d0dc
Lenovo Carbon X1 G4 i7-6600U 2x2 6GHz 16GB 512GB SSD 4G LTE 2560 x 1440 WIN10,Pre-Owned,From Germany,"17,650.62 CZK",0,0,https://www.ebay.com/itm/Lenovo-Carbon-X1-G4-i7-6600U-2x2-6GHz-16GB-512GB-SSD-4G-LTE-2560-x-1440-WIN10/362925938482?hash=item5480125732:g:LJ0AAOSwC-5eVUdL
"Lenovo Thinkpad X1 Carbon 14"" Core i7-5600U 2.6GHz 8GB 256GB SSD Laptop",Pre-Owned,From United Kingdom,"8,157.17 CZK",0,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-14-Core-i7-5600U-2-6GHz-8GB-256GB-SSD-Laptop/274282758050?hash=item3fdc86bfa2:g:5mEAAOSwBsleUQGt
"Lenovo X1 Carbon-i7-5600 5. GEN - 2,6 GHz - 8 GB Ram spots - 256 GB SSD-AZERTY",Refurbished,From Germany,"2,622.75 CZK",Tim,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-i7-5600-5-Gen-2-6-GHz-8-GB-RAM-256-GB-SSD-AZERTY/233503167487?hash=item365ddf93ff:g:sTQAAOSwEFheUTEZ
Lenovo ThinkPad X1 Carbon Laptop Intel Core i5-3427u 2.3GHz/4GB/180GB SSD Win 10,Refurbished,From United States,"4,061.88 CZK",4.5,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-Laptop-Intel-Core-i5-3427u-2-3GHz-4GB-180GB-SSD-Win-10/324076089146?epid=20031092292&hash=item4b7470af3a:g:Wr4AAOSwYSxeSuAP
