,Name,Status,Location,Price,Stars,Ratings,Link
1199,  X1 Carbon I5 4TH GEN FOR PARTS/ No HDD,Parts Only,From United States,2298.0,4.5,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-I5-4TH-GEN-FOR-PARTS-No-HDD/123924387847?epid=20031092292&hash=item1cda781807:g:gXwAAOSw~1xdknFK
889, 240 GB  Hard drive hard disk THINKPAD X1 CARBON - TESTATO !!,Pre-Owned,From Italy,2168.81,0,0,https://www.ebay.com/itm/Lenovo-240-GB-SSD-Hard-drive-hard-disk-THINKPAD-X1-CARBON-TESTATO/114093986046?hash=item1a908810fe:g:IEAAAOSwjONeOQCE
894,LENOVO  65W Standard AC Adapter USB Type-C for X1 Carbon X1 Yoga E480,Brand New,From Australia,1559.99,LEN,0,https://www.ebay.com/itm/LENOVO-ThinkPad-65W-Standard-AC-Adapter-USB-Type-C-for-X1-Carbon-X1-Yoga-E480/383054117400?epid=22012049943&hash=item592fcdfa18:g:bwEAAOSwIlBeVjMJ
1187,New Genuine   X1Carbon Generation 2 -  240GB  - 00JT005/04X4422,New (Other),From United Kingdom,1208.51,New,0,https://www.ebay.com/itm/New-Genuine-Lenovo-ThinkPad-X1Carbon-Generation-2-240GB-SSD-00JT005-04X4422/274070470337?epid=2128170016&hash=item3fcfdf7ec1:g:HxcAAOSwhe9dtgMA
1356,New Genuine   X1Carbon Generation 2 -  240GB  - 00JT005/04X4422,New (Other),From United Kingdom,1208.51,New,0,https://www.ebay.com/itm/New-Genuine-Lenovo-ThinkPad-X1Carbon-Generation-2-240GB-SSD-00JT005-04X4422/274070470337?epid=2128170016&hash=item3fcfdf7ec1:g:HxcAAOSwhe9dtgMA
899,Fuente de alimentación Original  90w  Edge e531 e431 x1 carbon,Brand New,From France,1035.74,0,0,https://www.ebay.com/itm/Fuente-de-Alimentacion-Original-Lenovo-90W-THINKPAD-Edge-E531-E431-X1-Carbon/322968553037?hash=item4b326d064d:g:JxsAAOxy4YdTRoD4
900,Power Supply Original  90w  Edge e531 e431  x1 Carbon,Brand New,From France,1035.74,0,0,https://www.ebay.com/itm/Netzteil-Original-Lenovo-90W-THINKPAD-Edge-E531-E431-THINKPAD-X1-Carbon/382394871013?hash=item590882ace5:g:JxsAAOxy4YdTRoD4
920,Power Supply Original  90W THINKPAD Edge E531 E431 THINKPAD X1 Carbon,Brand New,From France,1032.37,0,0,https://www.ebay.com/itm/Power-Supply-Original-Lenovo-90W-THINKPAD-Edge-E531-E431-THINKPAD-X1-Carbon/382241009556?hash=item58ff56ef94:g:JxsAAOxy4YdTRoD4
898,Original power  90w  edge e531 e431  x1 carbon,Brand New,From France,983.53,0,0,https://www.ebay.com/itm/Alimentation-DORIGINE-Lenovo-90W-ThinkPad-Edge-E531-E431-ThinkPad-X1-Carbon/381601992845?hash=item58d940508d:g:JxsAAOxy4YdTRoD4
890, SCKJF240A5L 240GB M.2 SATA6.0Gbps For   X1 Carbon Gen4 5,Pre-Owned,From China,919.74,0,0,https://www.ebay.com/itm/SSD-SSDSCKJF240A5L-240GB-M-2-SATA6-0Gbps-For-Lenovo-ThinkPad-X1-Carbon-Gen4-5/274082544988?hash=item3fd097bd5c:g:n5wAAOSwnSJdwO6c
923,Fuente de alimentación original  65w  edge e531 e431 x1 carbon,Brand New,From France,770.18,0,0,https://www.ebay.com/itm/Fuente-de-Alimentacion-Original-Lenovo-65W-THINKPAD-Edge-E531-E431-X1-Carbon/332377826837?hash=item4d63432615:g:XW0AAMXQrhdTRpry
921,Power Supply Original  65w  Edge e531 e431  x1 Carbon,Brand New,From France,770.18,0,0,https://www.ebay.com/itm/Netzteil-Original-Lenovo-65W-THINKPAD-Edge-E531-E431-THINKPAD-X1-Carbon/323516594635?hash=item4b531779cb:g:XW0AAMXQrhdTRpry
922,Power supply ORIGINAL  65W  Edge E531 E431  X1 Carbon,Brand New,From France,767.71,0,0,https://www.ebay.com/itm/Power-supply-ORIGINAL-Lenovo-65W-ThinkPad-Edge-E531-E431-thinkpad-X1-Carbon/382314603566?hash=item5903b9e42e:g:XW0AAMXQrhdTRpry
901,Original power  65w  edge e531 e431  x1 carbon,Brand New,From France,731.34,0,0,https://www.ebay.com/itm/Alimentation-DORIGINE-Lenovo-65W-ThinkPad-Edge-E531-E431-ThinkPad-X1-Carbon/331832126166?hash=item4d42bc6ad6:g:XW0AAMXQrhdTRpry
891,"BIOS Password Chip  X1 Carbon(34xx), S230u, E545 E531 E431 S430 S431 W700",Brand New,From Taiwan,679.79,0,0,https://www.ebay.com/itm/BIOS-Password-Chip-Lenovo-X1-Carbon-34xx-S230u-E545-E531-E431-S430-S431-W700/141479639013?hash=item20f0d7f7e5:g:-2gAAOxyRuJTlqG~
892,IBM THINKPAD LENOVO X1 CARBON 3RD GEN 3 TouchPad Touch Pad Mouse Button,Pre-Owned,From Cyprus,574.04,0,0,https://www.ebay.com/itm/IBM-THINKPAD-LENOVO-X1-CARBON-3RD-GEN-3-TouchPad-Touch-Pad-Mouse-Button/264630909397?hash=item3d9d3b39d5:g:A7oAAOSwlyVeQrKG
893, x201 x230 x220 x131e x1 Carbon w530 w520 BIOS Supervisor Password Remove,Brand New,From United States,251.94,0,0,https://www.ebay.com/itm/Lenovo-X201-X230-X220-X131e-X1-Carbon-W530-W520-BIOS-Supervisor-Password-Remove/222986756665?hash=item33eb0be239:m:mRxgh6S9kj5MZFCJQiFIefQ
897,Genuine   X1 Carbon Gen 6 Front Bezel Trim Cap Cover 01LV482 Black,Brand New,From Canada,104.66,0,0,https://www.ebay.com/itm/Genuine-Lenovo-ThinkPad-X1-Carbon-Gen-6-Front-Bezel-Trim-Cap-Cover-01LV482-Black/143528727236?hash=item216afa92c4:g:aiAAAOSwDeReQIu9
